date,handoff_start_tok,handoff_full_tok,ref_data_tok,specs_tok,chapter_md_tok,provenance_tok,html_tok
2026-07-10,2243,28567,20710,78361,225521,17485,260879
2026-07-11,3496,10259,20710,78710,228803,17485,267167
2026-07-11,3205,10176,20710,80218,228984,17485,267574
2026-07-11,3201,11439,20710,80218,229753,17485,268841
2026-07-12,3593,11892,20710,87828,230791,17485,269594
2026-07-12,2867,11475,20710,87828,230791,17485,269594
2026-07-14,1426,2697,20710,89299,238651,17485,286777
2026-07-16,1890,1890,20710,90476,195131,17485,259663
